13	399	Факт	0
9	4	Поверхностные водоемы (реки и озера) Томской занимают около 2,5 % всей площади. На территории области насчитывается 18100 рек общей протяженностью 95 тыс. км, 112900 озер с площадью водного зеркала 4451 кв. км, более 1,5 тыс. болот, более 170 прудов и водохранилищ	0
10	4	В Красную книгу Томской области занесено около 198 видов растений и животных	0
14	4	Сибирский кедр доживает до 500 лет	0
15	6	Первая русская экспедиция в Китай была совершена томичами под предводительством казака Ивана Петлина в 1618 году	0
16	6	Большинство поселений области создано ссыльными и спецпереселенцами	0
17	6	Томск – самый молодежный город России: каждый пятый его житель – студент\r\n	0
19	402	В Красную книгу Томской области занесено около 198 видов растений и животных	0
20	402	Сибирский кедр доживает до 500 лет	0
24	9	По объему инвестиций в основной капитал на душу населения Томская область опережает среднероссийский уровень и занимает 2-е место среди регионов СФО	0
25	9	Вклад Томской области в ВВП Сибирского федерального округа и России в целом выше, чем доля в численности населения и доля в размере территории	0
26	9	Рейтинговое агентство «Standard&Роог’s» оценивает Томскую область по международной шкале на уровне «ВB», по российской шкале – на уровне «ruАA». Прогноз по рейтингам – «стабильный»	0
27	216	В 1624 году кузнец Федор Еремеев обнаружил в окрестностях Томска железную руду и основал первый государственный железоплавильный завод	0
28	216	ООО «Томскнефтехим» занимает первое место в России по производству полипропилена, второе – по производству полиэтилена высокого давления	0
29	216	ЗАО «ЭлеСи» выступило генеральным подрядчиком и главным разработчиком единой системы управления трубопроводом Восточная Сибирь – Тихий океан	0
30	217	В Томской области в 2013 году установлен рекорд по объемам вводимого жилья за последние 22 года – 531,3 тыс.кв.м.	0
31	217	Ежегодно одним из лидеров в Сибири по вводу жилья в расчете на одного человека является Томская область.	0
32	217	За один 2013 год на ликвидацию аварийного жилья направлено столько же средств, что за предыдущие 5 лет.	0
33	217	В Томской области рост ипотечного кредитования составляет 22%	0
34	217	По различным жилищным программам в Томской области ежегодно оказывается помощь более 2 тысячам семей на сумму 2,6 млрд.рублей.	0
35	217	В Томской области имеются генеральные планы во всех муниципальных образованиях	0
36	217	В томском регионе области действует уникальный в России проект государственно-частного партнерства по строительству 15 детских садов	0
37	218	Первая в Сибири электростанция появилась в Томске в 1896 году	0
38	218	Компания «Газпром трансгаз Томск» занимается поставкой газа на территорию, сопоставимую по размерам с Западной Европой	0
39	218	В 2008 году в Томске был открыт первый в России Информационный центр по атомной энергии	0
40	219	В Томской области внедряется Единая региональная информационная система в сфере энергосбережения.	0
41	219	В областных и муниципальных государственных учреждениях заключен ряд энергосервисных контрактов.	0
95	135	Томская губерния существует с 1804 года. Томская область была образована в 1944 году	0
23	3	В Томске установлен самый необычный памятник Чехову работы скульптора Леонтия Усова – «Чехов глазами пьяного мужика, лежащего в канаве и никогда не читавшего «Каштанку»	1
18	402	Поверхностные водоемы (реки и озера) Томской занимают около 2,5 % всей площади. На территории области насчитывается 18100 рек общей протяженностью 95 тыс. км, 112900 озер с площадью водного зеркала 4451 кв. км, более 1,5 тыс. болот, более 170 прудов и водохранилищ	0
42	219	Реализуются проекты в области альтернативной энергетики: ветро-солнечная электростанция (Парабельский и Александровский районы), биогазовая электростанция (Томский район).	0
43	220	В томском селе Семилужки производят субстанцию из экстрактов хвои, на основе которой можно создавать новые эффективные лекарства	0
44	220	Томские берестянщики используют уникальную технику нанесения узоров на бересту. Их короба, туеса, лукошки известны не только в России, но и за рубежом	0
45	220	Ежегодно в области перерабатывается около 2 тыс. тонн грибов, около 3 тыс. тонн ягод и 400 тонн орехов	0
