258	302	Инновационная деятельность	1189	\N	\N
259	302	Инновационная деятельность	1190	\N	\N
260	302	Инновационная деятельность	1191	\N	\N
261	302	Инновационная деятельность	1192	\N	\N
262	302	Инновационная деятельность	1193	\N	\N
263	302	Инновационная деятельность	1194	\N	\N
264	302	Инновационная деятельность	1195	\N	\N
175	125	\N	762	\N	\N
176	125	\N	763	\N	\N
177	125	\N	764	\N	\N
178	125	\N	765	\N	\N
179	125	\N	767	\N	\N
181	125	\N	791	\N	\N
182	125	\N	792	\N	\N
265	302	Инновационная деятельность	1196	\N	\N
209	265	Открытие X Областного театрального фестиваля «Маска - 2011»	869	\N	\N
203	265	Ткацкий станок в Зырянском краеведческом музее (Фото: Валерий Доронин)	863	\N	\N
195	264	\N	828	\N	\N
196	264	\N	830	\N	\N
197	264	\N	831	\N	\N
211	110	\N	977	\N	\N
212	110	\N	978	\N	\N
213	110	\N	979	\N	\N
214	110	\N	980	\N	\N
215	267	\N	1007	\N	\N
216	267	\N	1008	\N	\N
217	267	\N	1009	\N	\N
218	267	\N	1010	\N	\N
266	302	Инновационная деятельность	1197	\N	\N
267	302	Инновационная деятельность	1198	\N	\N
219	267	\N	1012	\N	\N
220	268	\N	1022	\N	\N
221	268	\N	1023	\N	\N
222	268	\N	1024	\N	\N
223	269	\N	1051	\N	\N
224	269	\N	1052	\N	\N
225	269	\N	1053	\N	\N
226	269	\N	1054	\N	\N
227	269	\N	1055	\N	\N
228	269	\N	1056	\N	\N
233	270	\N	1094	\N	\N
234	270	\N	1095	\N	\N
235	270	\N	1096	\N	\N
236	270	\N	1097	\N	\N
237	270	\N	1098	\N	\N
238	270	\N	1099	\N	\N
250	315	Количество малых предприятий в Томской области в расчете на 100 тысяч человек составило 190 единиц — это 10-й результат по стране	1173	\N	\N
248	315	Власти Томской области планируют в 2012 году направить на поддержку малого и среднего бизнеса 300 млн. рублей, что на 8,7% больше, чем в 2011 году	1171	\N	\N
249	315	Малые формы хозяйствования занимают существенное место в структуре сельхозпроизводства региона, в них выращивается 93% всего картофеля, 81% овощей, производится 24% мяса и 46% молока, 13% яйца	1172	\N	\N
251	315	Для предпринимателей в возрасте до 30 лет в области регулярно проводится конкурс «Перспектива», победители которого получают субсидию на возмещение части затрат	1174	\N	\N
252	315	Выставочный стенд «Малый и средний бизнес Томской обрасти» в дни Томского инновационного форума	1175	\N	\N
253	315	Семинары для молодых предпринимателей проводят руководители ведущих предприятий Томской области. Директор инновационной компании «Элекард» Андрей Поздняков	1176	\N	\N
254	315	Также для обучения начинающих бизнесменов приглашают крупнейших предпринимателей России. Лекцию читает Дмитрий Потапенко, создатель торговых сетей «Пятерочка», «Карусель», «Сходня-мебель» и пр.	1177	\N	\N
255	315	Майские конференции "Женщина и бизнес" стали заметным событием в жизни делового Томска и Томской области	1178	\N	\N
257	302	Инновационная деятельность	1188	\N	\N
256	302	Инновационная деятельность	1187	\N	\N
270	266	Визит Тима Барроу, Посла Великобритании в Российской Федерации, 17-18 октября 2012 г.	1221	\N	\N
272	266	Протокольная встреча Посла Франции г-на Жана де Глиниасти с Губернатором, 3 апреля 2012 (Фото: Валерий Доронин)	1223	\N	\N
269	266	16-17 марта 2009 года в Томске работала делегация Посольства Республики Индонезия во главе с Чрезвычайным и Полномочным Послом Хамидом Авалуддином (Фото: Валерий Доронин)	1220	\N	\N
