14	45	Экспертные советы	0	\N	\N	1419318060	\N	\N	10	\N	\N	\N	\N	0	\N	\N	\N	1	\N	0	\N	\N	\N
18	47	Руководство	0	\N	\N	1422360100	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	1	\N	0	\N	\N	\N
41	47	Календарь мероприятий	0	\N	\N	1422360100	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	1	\N	0	\N	\N	\N
874	58	Cтруктура	0	\N	\N	1426694610	\N	\N	\N	\N	\N	\N	938	0	\N	\N	\N	1	1426695480	0	\N	\N	\N
875	58	Руководство	0	\N	\N	1426694610	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	1	1426695480	0	\N	\N	\N
878	58	Координационные, совещательные органы  (по наличию)	0	\N	\N	1426694610	\N	\N	\N	\N	\N	\N	940	0	\N	\N	\N	1	1426695480	0	\N	\N	\N
2	1	Административно - территориальное деление	1	<p>Описание страницы</p>\r\n	\N	1419068580	107	\N	321	311	\N	\N	\N	0	\N	53	\N	1	1426695480	0	\N	\N	\N
876	58	Структурные подразделения	0	\N	\N	1426694610	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	1	1426695480	0	\N	\N	\N
877	58	Территориальные органы (по наличию)	0	\N	\N	1426694610	\N	\N	\N	\N	\N	\N	939	0	\N	\N	\N	1	1426695480	0	\N	\N	\N
879	58	Подведомственные организации (по наличию)	0	\N	\N	1426694610	\N	\N	\N	\N	\N	\N	941	0	\N	\N	\N	1	1426695480	0	\N	\N	\N
623	55	Cтруктура	0	\N	\N	1426424582	\N	\N	\N	\N	\N	\N	734	0	\N	\N	\N	1	1426425960	0	\N	\N	\N
880	58	Профильные организации при наличии	0	\N	\N	1426694610	\N	\N	\N	\N	\N	\N	942	0	\N	\N	\N	1	1426695480	0	\N	\N	\N
42	47	Фото	0	\N	\N	1422360060	\N	\N	\N	\N	\N	\N	244	0	\N	\N	\N	1	\N	0	\N	\N	\N
43	47	Видео	0	\N	\N	1422360060	\N	\N	\N	\N	\N	\N	246	0	\N	\N	\N	1	\N	0	\N	\N	\N
12	44	Контакты	0	\N	\N	1419314940	\N	\N	8	\N	\N	\N	288	0	\N	\N	\N	1	\N	0	\N	\N	\N
16	45	По инвестиционной политике и имущественным отношениям	0	\N	\N	1421147880	\N	\N	13	\N	\N	\N	290	0	\N	\N	\N	1	\N	0	\N	\N	\N
13	1	Новости	0	\N	\N	1419316140	113	\N	9	317	\N	\N	279	0	\N	59	\N	1	\N	0	\N	\N	\N
11	1	Природа	0			1419167280	108	\N	6	312	\N	0	485	0	\N	54	\N	1	\N	0	\N	\N	\N
46	47	Контакты	0	\N	\N	1422360060	\N	\N	\N	\N	\N	\N	392	0	\N	\N	\N	1	\N	0	\N	\N	\N
45	47	Аккредитация СМИ	0	\N	\N	1422360060	\N	\N	\N	\N	\N	\N	393	0	\N	\N	\N	1	\N	0	\N	\N	\N
44	47	Стенограммы	0	\N	\N	1422360060	\N	\N	\N	\N	\N	\N	394	0	\N	\N	\N	1	\N	0	\N	\N	\N
40	47	Новости	0	\N	\N	1422360060	\N	\N	\N	\N	\N	\N	398	0	\N	\N	\N	1	\N	0	\N	\N	\N
39	47	Пресс-центр	0	\N	\N	1422360060	\N	\N	\N	\N	\N	\N	399	0	\N	\N	\N	1	\N	0	\N	\N	\N
