1	2	8678768	4	Об утверждении Административного регламента предоставления Департаментом транспорта, дорожной деятельности и связи Томской области государственной услуги по выдаче специального разрешения на движение по автомобильным дорогам транспортного средства, осуществляющего перевозку тяжеловесных и (или) крупногабаритных грузов, в случае если маршрут, часть маршрута проходят по автомобильным дорогам регионального или межмуниципального значения Томской области, участкам таких автомобильных дорог, по автомобильным дорогам местного значения, расположенным на территориях двух и более муниципальных образований (муниципальных районов, городских округов), при условии, что маршрут такого транспортного средства проходит в границах Томской области и указанный маршрут, часть маршрута не проходят по автомобильным дорогам федерального значения, участкам таких автомобильных дорог search	\N	\N	55-ОД	\N	\N	\N	\N	\N	\N	\N	\N	0
4	3	3213211	3	Об утверждении Административного регламента предоставления Департаментом транспорта, дорожной деятельности и связи Томской области государственной услуги по выдаче специального разрешения на движение по автомобильным дорогам транспортного средства, осуществляющего перевозку тяжеловесных и (или) крупногабаритных грузов, в случае если маршрут, часть маршрута проходят по автомобильным дорогам регионального или межмуниципального значения Томской области, участкам таких автомобильных дорог, по автомобильным дорогам местного значения, расположенным на территориях двух и более муниципальных образований (муниципальных районов, городских округов), при условии, что маршрут такого транспортного средства проходит в границах Томской области и указанный маршрут, часть маршрута не проходят по автомобильным дорогам федерального значения, участкам таких автомобильных дорог search	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0
27	1	Департамент ЖКХ и государственного жилищного надзора Томской области, приказ №52	502		\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0
28	5	Об утверждении Административного регламента предоставления Департаментом транспорта, дорожной деятельности и связи Томской области государственной услуги по выдаче специального разрешения на движен	514		\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0
29	34	аввввв	553	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0
30	39	234324	597	\N	\N	1425465215	\N	\N	\N	\N	\N	\N	1425465215	\N	\N	0
47	42	с. Каргасок	885	\N	\N	1426076481	\N	\N	\N	\N	\N	\N	1426076481	\N	\N	0
32	40	Дом	713	\N	\N	1425985969	\N	\N	\N	\N	\N	\N	1425985969	\N	\N	0
33	40	уа	714	\N	\N	1425985989	\N	\N	\N	\N	\N	\N	1425985989	\N	\N	0
34	41	Социально-экономическое развитие Томской области в 2014 году	872	\N	\N	1426075728	\N	\N	\N	\N	\N	\N	1426075728	\N	\N	0
